Category,Manufacturer,Model,Manuf SN,Description,Asset SN,Date,Location,Condition,Origin
Backup Media,StarTech,S352BU313R,ATQ171006517,10TB EXOS Drive 2 of 2,ATQ171006517,05/23/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ170615442,11tb Ironwolf Sata HDDD rive 8 of 8,ATQ170615442,05/24/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ171006221,10TB EXOS Drive 1 of 2,ATQ171006221,05/24/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ170615595,14TB EXOS Drive 13 of 27,ATQ170615595,05/24/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ170615597,14TB EXOS Drive 14 of 27,ATQ170615597,05/24/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ170615614,14TB EXOS Drive 15 of 27,ATQ170615614,05/24/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ170615630,14TB EXOS Drive 16 of 27,ATQ170615630,05/24/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ170615658,14TB EXOS Drive 17 of 27,ATQ170615658,05/24/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ170615670,14TB EXOS Drive 18 of 27,ATQ170615670,05/24/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ170615457,14TB EXOS Drive 10 of 27,ATQ170615457,05/24/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ170615535,14TB EXOS Drive 11 of 27,ATQ170615535,05/24/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ170615561,14TB EXOS Drive 12 of 27,ATQ170615561,05/24/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ170615678,14TB EXOS Drive 19 of 27,ATQ170615678,05/24/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ170615715,14TB EXOS Drive 20 of 27,ATQ170615715,05/24/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ17006258,14TB EXOS Drive 21 of 27,ATQ17006258,05/24/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ17006389,14TB EXOS Drive 22 of 27,ATQ17006389,05/24/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ17006425,14TB EXOS Drive 23 of 27,ATQ17006425,05/24/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ17006439,14TB EXOS Drive 24 of 27,ATQ17006439,05/24/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ17006534,11tb Ironwolf Sata HDD Drive 2 of 8,ATQ17006534,05/24/19,Storage Room,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ17006560,11tb Ironwolf Sata HDD Drive 3 of 8,ATQ17006560,05/24/19,Storage Room,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ17006471,11tb Ironwolf Sata HDD Drive 1 of 8,ATQ17006471,05/24/19,Storage Room,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ171006512,14TB EXOS Drive 27 of 27 Case 8,ATQ171006512,05/27/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ171006480,14TB EXOS Drive 26 of 27 Case 8,ATQ171006480,05/27/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ171006638,18TB EXOS Drive 20 of 21 Case 7,ATQ171006638,05/27/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ171006516,18TB EXOS Drive 19 of 21 Case 7,ATQ171006516,05/27/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ171006510,18TB EXOS Drive 18 of 21 Case 6,ATQ171006510,05/27/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ171006508,18TB EXOS Drive 17 of 21 Case 6,ATQ171006508,05/27/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ171006416,18TB EXOS Drive 16 of 21 Case 6,ATQ171006416,05/27/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ171006409,18TB EXOS Drive 15 of 21 Case 5,ATQ171006409,05/27/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ171006391,18TB EXOS Drive 14 of 21 Case 5,ATQ171006391,05/27/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ171006386,18TB EXOS Drive 13 of 21 Case 5,ATQ171006386,05/27/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ171006295,18TB EXOS Drive 12 of 21 Case 4,ATQ171006295,05/27/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ171006284,18TB EXOS Drive 11 of 21 Case 4,ATQ171006284,05/27/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ171006282,18TB EXOS Drive 10 of 21 Case 4,ATQ171006282,05/27/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ171006259,18TB EXOS Drive 09 of 21 Case 3,ATQ171006259,05/27/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ170615350,14TB EXOS Drive 09 of 27,ATQ170615350,05/24/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ170615210,14TB EXOS Drive 02 of 27,ATQ170615210,05/24/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ170615206,14TB EXOS Drive 01 of 27,ATQ170615206,05/24/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ170615227,14TB EXOS Drive 03 of 27,ATQ170615227,05/24/19,Dawn,GOOD,EAGLE
